CustomerID,Gender,Age,Annual_Income_k,Spending_Score
28076,Female,59,132.22,37.89
17841,Male,25,19.98,84.29
27803,Male,69,77.26,26.26
7683,Female,29,32.26,5.0
24280,Male,25,35.24,70.2
33071,Male,59,103.92,8.84
35558,Male,52,73.88,4.29
37190,Male,68,77.4,18.78
47150,Male,34,113.41,95.54
46916,Male,49,85.32,60.53
9802,Female,20,33.24,22.08
38801,Female,49,101.5,96.16
24670,Male,23,34.74,98.89
44234,Female,36,98.11,89.04
31920,Male,37,92.77,33.83
7135,Male,29,32.65,12.79
33705,Female,37,107.71,3.38
29661,Female,60,135.0,16.53
17894,Male,20,24.2,67.79
22019,Male,29,33.56,67.75
13539,Female,25,16.73,79.44
43119,Female,48,101.63,63.65
36421,Female,55,95.05,4.0
9406,Female,20,29.58,11.05
13414,Female,18,19.93,93.33
6721,Female,29,34.18,19.84
15602,Female,23,24.93,68.02
44744,Male,40,70.04,83.32
31139,Female,53,92.31,28.81
2730,Female,30,16.11,38.85
38243,Female,29,91.2,78.86
29626,Female,69,83.96,3.42
47895,Female,45,120.17,64.35
42091,Male,44,78.25,98.5
36400,Male,54,133.85,2.05
6245,Female,22,36.9,20.89
5546,Female,33,39.27,28.94
4065,Male,31,27.3,33.08
12852,Male,26,17.77,63.28
21803,Male,23,16.4,85.38
41164,Male,41,106.53,92.77
6233,Female,26,38.84,29.69
3863,Male,25,20.82,32.43
35095,Male,40,135.81,5.33
40196,Male,43,106.18,84.43
39251,Female,25,134.94,69.36
6218,Male,33,29.64,28.79
36776,Male,46,133.73,23.76
42977,Male,33,108.44,90.12
48468,Female,29,114.35,81.72
14832,Male,20,37.15,66.57
30093,Female,36,121.64,9.6
8894,Male,20,37.77,27.39
6021,Male,25,28.19,1.33
46089,Male,26,105.39,63.91
15243,Male,26,29.43,68.59
45308,Female,30,95.17,97.27
26551,Male,38,136.8,17.76
6035,Male,21,36.64,20.94
7906,Male,23,19.0,36.39
32226,Female,59,91.66,16.58
6018,Female,22,38.28,33.04
21880,Female,26,22.93,65.12
2792,Male,18,19.05,10.72
42606,Female,33,119.25,84.34
5824,Male,23,17.11,21.47
15388,Female,25,24.03,76.86
29562,Female,52,107.37,20.9
39476,Male,49,89.87,87.14
293,Male,24,15.85,28.2
16958,Male,19,24.54,91.02
30861,Female,52,101.28,2.95
14074,Female,25,27.28,96.1
21857,Female,25,16.05,84.02
22080,Male,21,33.43,63.89
17024,Male,28,35.67,80.41
8740,Male,26,35.76,34.31
15826,Male,19,28.86,65.65
2742,Male,33,37.48,25.33
18049,Female,29,37.8,89.24
49937,Male,25,119.31,72.88
17373,Male,25,15.15,85.91
22022,Male,21,25.34,82.16
46365,Female,45,126.08,62.12
23538,Female,27,17.27,61.46
45500,Male,41,83.58,74.58
40186,Female,42,72.75,69.05
9614,Female,23,23.7,30.72
43282,Female,43,123.33,95.79
37892,Female,48,90.99,65.73
26179,Female,63,79.55,27.39
45893,Female,35,126.56,63.99
20934,Male,26,19.66,74.79
40972,Female,48,134.45,97.5
22225,Female,20,33.87,86.57
24382,Male,21,33.39,85.86
34856,Male,62,109.52,20.21
48578,Male,45,82.18,92.49
38537,Female,25,121.44,72.2
31756,Male,64,87.47,23.8
7754,Female,26,38.66,7.54
46639,Male,35,82.65,90.95
43835,Female,26,131.58,77.34
26236,Male,53,115.73,24.86
44230,Male,42,115.58,72.27
49597,Male,35,70.54,82.8
18553,Male,18,28.05,88.95
43137,Female,46,134.26,61.89
36673,Female,51,99.21,39.11
43650,Female,30,127.82,91.42
3941,Male,33,26.24,24.9
31497,Male,62,125.78,7.55
26594,Female,60,131.52,3.14
23922,Male,21,38.64,71.16
26403,Male,52,110.29,28.46
45943,Male,47,87.29,80.25
48526,Male,45,107.14,84.96
18316,Male,27,17.3,92.47
36894,Female,60,93.82,34.04
26696,Female,57,101.39,21.14
42128,Male,46,112.74,93.16
14171,Female,19,20.81,73.11
3733,Male,31,35.44,21.82
7882,Female,19,32.02,38.05
6017,Female,27,33.8,15.05
23030,Female,24,20.45,79.71
35474,Female,35,98.37,38.16
49686,Female,29,90.62,80.49
4818,Male,33,37.29,37.7
41694,Female,43,129.35,77.14
12008,Female,34,21.83,2.59
41328,Female,25,99.63,81.59
9507,Female,18,22.46,15.48
44799,Female,35,71.84,81.89
34063,Male,36,134.18,22.2
27475,Male,45,115.43,29.15
31144,Male,68,88.72,39.3
21236,Male,19,36.11,61.86
1391,Male,23,34.83,9.6
38250,Female,36,124.41,88.07
37625,Female,43,106.22,85.73
42029,Female,32,125.89,95.87
20835,Female,19,27.15,74.76
14758,Male,26,22.26,94.0
26397,Female,55,117.0,14.16
6809,Male,19,31.31,35.8
9226,Female,33,33.04,7.72
48395,Male,33,79.14,84.67
5396,Female,24,27.15,7.32
6944,Female,18,27.47,20.72
23871,Female,18,22.85,83.67
32493,Male,43,93.03,14.39
36346,Male,48,71.97,8.32
10756,Female,21,35.24,36.79
12302,Male,26,26.9,19.35
48387,Male,33,75.63,60.72
42746,Female,35,132.49,81.27
29090,Female,56,106.49,36.87
44713,Male,42,125.37,91.03
14344,Male,24,23.0,73.15
38173,Female,26,102.34,76.61
5072,Male,31,29.03,24.25
24122,Female,29,26.42,80.91
48810,Male,26,96.96,76.37
17821,Female,25,37.8,62.12
1123,Male,31,17.69,30.96
11265,Male,19,27.09,13.61
30580,Female,67,91.71,35.16
45465,Female,31,92.63,85.08
48217,Male,43,125.02,95.34
43045,Female,25,77.59,69.26
15657,Female,24,39.06,65.28
1901,Male,19,33.49,4.38
148,Male,34,35.96,19.28
29643,Female,42,124.85,37.04
3212,Male,31,35.66,29.52
43851,Male,27,96.73,83.15
2355,Male,21,30.39,27.95
31521,Female,57,83.01,32.35
42584,Female,44,131.61,83.93
43338,Male,42,117.85,83.91
45285,Male,43,124.2,77.82
46957,Male,46,121.22,72.76
48791,Male,28,109.76,80.37
36586,Female,61,101.37,2.84
10466,Male,25,25.58,25.24
7822,Female,34,29.5,14.27
7206,Female,34,22.98,17.82
6414,Female,33,30.27,29.03
34047,Female,66,135.57,13.47
12729,Female,25,23.15,87.5
6926,Female,34,19.45,31.85
27996,Female,44,116.47,3.77
37613,Female,33,108.7,74.54
39484,Male,33,76.64,67.04
3017,Male,26,22.32,14.5
1641,Female,25,18.67,26.19
8884,Female,30,37.47,35.35
37602,Male,25,85.53,60.02
12970,Male,27,29.23,97.65
23464,Male,24,39.19,84.09
15758,Female,19,23.92,90.55
44077,Female,36,118.18,78.98
4087,Male,31,25.84,19.22
509,Female,30,39.4,32.26
6355,Female,26,36.07,20.74
29645,Male,47,119.96,15.87
20816,Male,20,23.66,75.2
6235,Male,18,32.33,11.21
31990,Male,47,84.14,34.13
12996,Male,20,23.26,75.92
42502,Male,39,127.82,83.84
38921,Female,35,109.1,74.6
263,Female,26,25.9,12.48
7892,Male,30,27.95,7.16
10528,Male,18,32.38,38.62
18601,Female,29,23.08,74.81
24115,Female,22,37.0,80.59
33499,Female,38,116.84,35.98
13472,Male,18,37.8,72.89
31726,Female,61,132.37,5.6
23691,Female,23,20.35,63.32
10558,Female,22,29.23,3.16
6557,Female,32,28.79,8.08
45578,Male,37,84.99,95.42
41504,Male,44,104.1,88.78
27873,Male,63,104.29,8.25
10811,Female,29,28.86,13.24
38215,Female,43,86.46,79.93
11731,Male,26,25.32,7.48
27439,Female,59,134.14,33.89
21780,Female,19,21.17,87.84
34080,Female,40,122.64,8.64
22916,Male,26,22.47,90.6
8086,Male,31,24.48,39.6
43468,Female,27,90.22,88.0
14710,Female,25,28.92,71.62
15467,Male,28,35.44,65.28
37173,Female,56,72.08,19.56
28749,Male,45,76.96,7.65
3105,Male,19,33.91,24.81
709,Male,34,27.69,27.42
38386,Male,30,102.88,78.5
23445,Female,27,27.41,68.78
26511,Male,47,135.13,4.46
8467,Male,23,34.89,27.38
6231,Male,18,18.47,22.81
46359,Female,46,94.6,77.22
39358,Female,28,88.46,74.3
16387,Male,27,25.11,90.07
34166,Male,37,126.17,28.33
4169,Male,22,39.23,8.69
5804,Male,25,22.07,8.42
12754,Female,26,30.19,61.47
2190,Female,31,31.59,5.42
12188,Male,33,16.39,20.82
31728,Male,63,78.84,29.43
19246,Female,23,27.1,85.92
37867,Female,46,123.11,75.42
43515,Male,37,81.75,86.34
8719,Male,19,29.29,31.41
28825,Female,50,76.83,24.22
24469,Male,22,15.55,98.82
48253,Female,37,86.18,98.78
7202,Male,32,28.97,35.54
9283,Female,23,17.58,11.35
26821,Female,50,85.32,11.23
27374,Male,47,83.58,26.59
22493,Male,18,29.23,66.31
45638,Female,49,82.72,88.39
45880,Female,30,85.73,83.5
29340,Female,69,116.26,31.69
46548,Female,33,114.14,88.88
10804,Female,22,23.25,1.46
20965,Male,19,38.78,85.25
30033,Male,38,127.73,3.36
5223,Male,23,31.88,25.37
660,Male,27,39.29,13.92
33246,Male,60,100.49,39.77
5866,Female,34,35.68,30.99
48872,Female,27,94.05,79.96
22986,Male,29,20.94,68.7
28881,Male,61,93.97,29.6
47088,Female,42,114.81,96.12
26528,Female,35,76.18,9.32
9648,Male,23,32.04,35.27
49546,Male,31,70.02,86.04
32375,Female,61,94.93,13.8
26159,Female,54,83.02,37.17
11712,Male,23,39.07,30.66
27239,Female,63,106.19,26.25
18354,Male,18,28.72,68.27
49515,Male,28,77.54,98.99
21725,Male,26,22.11,86.9
25925,Male,44,93.28,24.12
41390,Male,44,101.16,83.07
4773,Male,25,22.4,35.57
35205,Male,43,102.2,28.08
27879,Female,56,84.77,21.78
5875,Female,19,29.67,13.86
17805,Female,22,32.07,60.52
34224,Female,51,84.01,16.37
7842,Male,18,27.22,18.26
15923,Female,18,22.75,71.53
28367,Male,43,99.15,6.18
12084,Female,33,36.1,38.36
20034,Female,19,31.75,69.69
14488,Male,19,24.62,81.76
20819,Female,21,34.23,81.88
37518,Female,42,95.22,94.2
44236,Female,37,94.83,96.18
48651,Female,30,107.56,78.14
36236,Male,54,91.7,11.52
21070,Male,20,25.11,92.13
9524,Male,19,38.44,5.69
32756,Male,46,89.87,21.98
12054,Female,29,30.72,6.92
23594,Male,27,30.84,77.15
8038,Male,32,35.62,6.76
46977,Male,45,91.05,78.74
16400,Male,20,28.65,60.98
45786,Male,45,96.99,70.28
34616,Female,36,85.53,29.06
7625,Female,21,25.77,16.21
13662,Female,22,31.83,80.63
37737,Female,45,87.65,81.97
26542,Female,66,117.66,15.55
13268,Female,27,17.0,72.45
18083,Male,28,39.46,61.18
48086,Female,27,111.09,75.4
42768,Female,36,73.02,98.88
4071,Male,25,30.72,6.72
16287,Female,20,39.92,74.02
1119,Male,24,30.89,25.56
10075,Female,24,32.74,36.34
11374,Male,26,30.33,37.14
32685,Male,39,75.59,22.23
46434,Female,31,105.81,81.62
25350,Male,39,107.04,12.75
6716,Male,22,24.88,36.07
34568,Male,45,136.65,29.89
1031,Female,23,35.96,15.09
22754,Female,20,27.35,81.86
11762,Female,24,15.87,11.43
35897,Female,38,86.53,39.48
14493,Female,26,30.64,83.41
25086,Female,35,118.48,7.04
20396,Female,23,26.18,64.59
4814,Female,21,34.72,6.56
8995,Female,27,16.12,14.88
49692,Female,48,89.02,63.13
21375,Female,23,16.71,77.96
30243,Male,41,131.81,3.58
47579,Female,46,116.38,87.9
1165,Female,34,27.52,26.15
24811,Male,26,26.1,63.17
21110,Male,29,36.75,68.3
3698,Female,34,27.68,39.84
11439,Female,19,32.7,36.67
4470,Female,31,27.86,24.29
9808,Female,23,18.12,8.47
47768,Male,41,128.41,86.25
6749,Female,22,21.3,1.87
49185,Female,45,71.61,83.69
17379,Male,25,20.16,90.32
36885,Female,39,94.02,35.78
13357,Female,27,27.19,82.37
32405,Male,49,89.21,37.34
42455,Male,46,109.87,88.24
46066,Male,47,88.06,98.19
11539,Female,27,18.57,16.31
2009,Female,32,29.16,30.77
3222,Female,19,22.2,13.64
44997,Female,34,94.04,60.46
18763,Male,27,29.14,75.94
14166,Male,29,28.01,78.49
40684,Male,49,117.92,96.59
25081,Female,47,79.21,24.64
1823,Male,22,15.73,25.11
44662,Female,39,110.73,95.77
6849,Female,20,16.62,20.71
12636,Female,18,24.65,70.16
37669,Male,34,72.71,80.9
6096,Male,29,37.45,5.18
39249,Male,45,76.63,66.09
10578,Male,20,39.82,12.76
31075,Female,49,99.15,17.36
29113,Female,39,136.27,14.4
10193,Male,31,20.08,36.03
315,Male,26,19.66,31.4
11450,Male,18,18.51,14.08
30746,Male,42,88.94,17.17
29703,Male,45,70.07,28.63
27659,Male,60,98.49,36.68
23686,Male,23,34.77,78.28
28376,Male,61,106.28,15.68
3086,Male,24,15.08,10.57
49372,Female,45,130.1,74.64
3752,Female,27,36.69,15.29
5049,Female,34,32.34,35.96
29187,Male,37,132.66,23.63
30709,Male,53,91.26,27.19
20147,Female,24,34.07,74.79
32250,Male,48,98.18,15.97
4970,Male,27,19.31,23.22
30526,Female,40,93.98,15.15
18495,Male,21,24.87,66.31
38065,Female,44,97.91,87.04
41837,Female,42,95.55,90.4
32753,Male,59,90.23,11.91
20074,Male,19,19.64,89.87
26274,Male,67,114.76,11.86
13650,Male,20,28.49,97.86
25534,Male,55,80.99,32.31
17522,Female,24,38.1,91.56
25481,Female,36,136.16,36.85
48235,Female,27,98.11,75.42
48788,Female,27,115.81,71.26
32390,Male,65,136.84,7.5
5087,Female,21,16.33,24.77
17253,Male,27,34.33,70.8
4040,Male,27,29.99,13.95
18387,Female,18,16.17,83.6
4247,Male,28,15.56,28.95
18628,Female,24,33.01,79.4
880,Male,20,20.13,19.84
23299,Male,26,25.68,61.02
29753,Male,53,84.11,24.25
30173,Female,36,97.49,25.22
28560,Female,36,82.47,1.17
18864,Male,28,16.39,78.37
43344,Male,28,98.31,63.53
34211,Male,46,120.66,16.9
26084,Male,47,132.78,39.21
1942,Female,32,20.77,12.36
22226,Male,23,33.12,95.14
44692,Female,42,104.87,89.67
43240,Female,39,119.15,60.97
23860,Male,28,25.66,79.7
14159,Male,26,20.93,65.23
33876,Female,42,89.63,11.39
48105,Female,47,95.31,77.32
23450,Male,25,29.74,87.19
6624,Female,22,34.74,12.52
38265,Female,33,128.37,92.61
26242,Female,44,99.46,19.03
47592,Male,49,95.96,87.11
24156,Male,26,17.26,64.74
32059,Female,48,74.2,21.82
9332,Female,27,35.51,2.16
43565,Male,36,79.57,69.1
3494,Female,25,15.6,30.8
4879,Female,34,35.8,17.43
47063,Female,36,128.93,80.46
999,Female,32,26.32,38.0
37087,Female,65,83.28,15.22
36438,Female,61,85.99,26.1
34750,Male,56,123.24,21.35
28617,Female,43,133.9,5.94
37096,Female,52,97.39,24.29
22811,Male,21,38.11,70.67
7143,Male,21,21.94,21.73
21559,Male,24,37.37,97.67
9936,Female,19,26.19,39.46
4789,Female,22,37.94,29.3
30511,Female,65,131.06,31.45
31190,Female,46,113.28,10.35
20084,Male,26,19.98,97.33
10824,Male,23,24.16,31.76
673,Male,31,16.28,11.05
15595,Female,29,19.22,97.03
43049,Female,37,100.59,66.74
21912,Male,28,25.53,63.04
11869,Male,21,39.23,36.64
34691,Female,64,107.61,33.83
11322,Male,22,23.08,37.04
44212,Male,25,92.72,71.74
24615,Female,27,26.0,96.45
12006,Male,23,22.36,12.52
3940,Female,32,31.54,34.07
4614,Male,27,22.04,9.2
36760,Female,57,118.55,26.43
31459,Female,55,114.25,6.8
44953,Male,31,94.73,70.79
4348,Male,18,35.18,15.97
39328,Female,33,78.0,80.64
49923,Male,40,131.67,71.12
22394,Female,21,24.22,68.92
3157,Female,22,18.84,8.02
29918,Female,39,105.4,5.24
37224,Female,69,97.97,10.81
13479,Male,26,34.37,95.05
13872,Male,21,37.49,85.87
38556,Female,38,75.5,71.86
25330,Female,65,103.27,14.07
44685,Female,39,122.94,84.5
986,Male,31,37.92,28.54
37140,Male,60,115.92,37.82
35034,Female,59,83.14,37.36
23731,Male,27,31.2,79.55
7531,Female,30,21.4,25.68
44395,Male,28,76.54,71.0
32949,Male,59,108.36,15.08
30878,Female,61,112.45,5.02
29931,Female,49,105.85,5.14
23416,Female,27,26.18,84.54
6060,Female,24,31.65,8.06
23680,Male,27,23.68,85.0
15941,Female,18,29.78,92.85
6949,Female,24,29.4,28.34
30096,Male,51,117.71,31.56
41340,Female,43,88.99,98.9
49599,Male,46,99.43,62.08
33184,Female,49,105.33,24.89
16581,Male,24,18.6,98.97
1389,Female,34,27.58,32.06
21351,Female,24,17.03,75.61
49751,Male,33,70.36,86.01
34432,Male,59,115.59,13.19
24455,Female,25,35.18,66.42
40360,Female,42,71.99,82.71
18578,Female,20,38.05,93.72
33452,Female,58,80.48,8.18
47853,Female,49,107.96,79.95
5,Male,29,30.29,1.28
29183,Female,58,121.45,20.65
8231,Male,28,26.02,37.73
5947,Female,33,33.73,34.47
7823,Male,34,34.06,9.13
19487,Female,18,25.66,63.96
15385,Male,27,30.66,84.13
41100,Female,41,112.83,82.75
18184,Female,28,24.93,98.34
27162,Male,44,132.16,35.21
11646,Male,27,35.45,24.46
24391,Female,22,28.84,75.92
4851,Male,23,38.05,7.91
47436,Male,41,102.21,82.43
42207,Female,48,126.02,69.59
45341,Male,44,107.53,82.16
28170,Female,53,102.69,14.9
3420,Male,22,18.27,10.45
42591,Male,35,132.87,65.3
38735,Male,34,107.71,78.67
36720,Male,64,77.46,18.49
29498,Female,47,107.77,35.29
4363,Female,21,35.19,6.27
4029,Female,30,18.77,11.87
3427,Female,25,22.2,35.68
20269,Male,26,33.14,61.33
20058,Female,18,36.44,64.86
11479,Male,30,34.1,38.49
47945,Male,42,128.53,66.0
29393,Female,37,80.21,7.95
29047,Male,53,99.79,1.65
8565,Male,25,21.29,33.01
39507,Female,26,89.57,97.96
49805,Female,39,119.14,76.58
25450,Female,61,73.09,27.86
34922,Male,55,93.35,23.93
30478,Male,69,71.75,4.53
13520,Female,22,25.23,63.02
34008,Male,52,93.92,8.24
21316,Female,26,15.58,61.44
42425,Female,45,115.45,93.42
48901,Female,41,78.49,94.93
47633,Female,34,126.06,78.08
49789,Female,29,136.29,94.71
44232,Male,35,128.86,66.96
10724,Female,25,29.71,35.53
13155,Female,20,16.26,97.38
13763,Female,29,20.89,95.69
42812,Male,49,76.37,62.89
30804,Male,62,88.1,16.86
36261,Male,36,117.74,12.35
21437,Male,26,17.1,73.44
25971,Male,48,125.74,16.92
32204,Female,36,78.04,37.96
7181,Female,21,30.94,7.38
41281,Female,42,114.06,94.27
28087,Male,48,110.19,37.79
13702,Female,27,27.99,77.1
1004,Female,21,16.96,29.88
9059,Female,34,35.49,19.25
44235,Female,47,127.46,72.59
25675,Female,53,71.51,14.72
45056,Male,32,91.96,60.59
35144,Male,48,90.01,14.28
38163,Female,35,93.05,91.21
22477,Female,28,17.49,84.49
23007,Male,18,18.88,68.75
45344,Female,27,81.43,97.24
36128,Male,68,106.18,24.24
49710,Male,31,82.6,62.46
13099,Female,26,22.29,91.16
37196,Male,53,135.98,18.4
4108,Female,32,18.67,23.35
41336,Female,45,78.31,81.91
25223,Female,56,97.02,27.44
35840,Female,68,100.21,32.9
29719,Female,40,82.9,16.24
46953,Male,31,99.15,81.92
29828,Female,36,106.39,3.82
17543,Male,27,23.04,68.17
24916,Female,22,17.42,75.49
4514,Female,28,18.24,33.88
19937,Female,21,23.51,82.72
46525,Female,45,70.58,95.65
24511,Male,21,26.13,95.85
27442,Female,43,133.21,6.16
12002,Male,21,24.24,6.02
23354,Male,24,19.86,78.67
27293,Male,64,78.5,25.99
34204,Female,66,102.3,29.7
12148,Female,20,35.65,37.9
15292,Male,27,34.91,67.66
46880,Female,41,96.72,86.87
8691,Male,32,32.0,10.5
12654,Male,25,37.18,69.68
31470,Female,65,113.76,29.04
2955,Male,33,19.18,2.11
3004,Female,21,35.35,31.3
15814,Female,27,24.41,68.5
6657,Male,20,24.97,23.6
12774,Female,21,36.46,80.2
39531,Female,42,79.63,88.78
34408,Male,37,100.29,3.9
8837,Female,23,27.54,7.52
14618,Female,26,24.84,87.34
22836,Male,24,27.14,64.06
15981,Male,24,38.87,73.9
37916,Male,37,71.47,98.7
1571,Male,23,39.41,38.23
35908,Female,37,85.91,31.06
26090,Male,55,84.54,16.89
20914,Male,20,36.89,74.25
9958,Male,25,31.57,3.45
18276,Female,29,23.36,63.09
15432,Female,29,20.04,81.85
23494,Male,23,38.07,75.73
15790,Male,20,39.48,65.14
35780,Male,53,113.96,27.13
11981,Female,19,29.44,34.79
44906,Male,47,136.04,93.34
35763,Female,59,80.15,7.99
27093,Female,68,121.69,26.59
46835,Male,46,73.5,74.26
33438,Male,50,92.36,36.35
47381,Male,44,108.39,85.54
1591,Male,34,31.16,18.88
26756,Male,48,134.91,27.92
21759,Female,24,39.69,95.32
3002,Male,18,28.87,8.13
44112,Female,46,115.14,91.38
43520,Male,39,125.78,68.29
629,Male,20,32.35,20.99
20737,Female,29,17.53,79.97
11903,Female,30,22.22,36.55
6367,Male,22,17.7,32.84
17133,Male,18,15.51,73.15
9479,Female,27,22.4,4.0
41871,Female,33,133.14,82.23
12933,Male,25,15.6,65.92
13642,Female,25,23.32,79.97
19627,Male,27,21.86,60.06
9952,Female,29,21.39,24.31
28963,Female,64,96.6,26.0
28446,Female,63,115.87,6.06
19699,Female,26,21.0,69.51
44224,Male,42,111.98,96.34
2997,Female,20,30.57,26.46
13638,Male,22,17.77,89.71
22471,Female,29,27.46,94.84
36087,Female,59,121.24,5.55
28918,Female,36,94.22,21.02
17650,Female,18,19.04,80.79
27956,Female,54,122.72,20.36
2855,Male,26,31.09,14.07
13390,Male,25,21.07,87.68
13049,Male,23,27.55,74.42
22333,Male,20,17.23,69.04
30578,Female,54,84.77,33.28
34735,Female,40,118.65,28.54
19539,Female,22,18.61,69.07
39587,Female,35,122.95,64.95
5573,Female,29,33.33,15.11
47751,Female,46,72.2,87.48
30964,Male,61,127.85,2.57
35496,Male,63,113.47,25.27
20263,Female,23,38.25,62.62
44660,Female,44,119.35,90.66
21746,Male,21,17.92,60.88
47249,Male,32,78.5,73.3
36228,Male,46,84.76,16.6
28787,Male,48,121.0,35.72
35620,Male,62,115.13,13.19
46000,Female,26,106.0,78.97
49513,Female,25,134.53,67.71
44515,Male,25,100.0,83.73
28684,Male,56,93.42,20.87
31549,Male,56,128.62,13.34
31965,Female,64,125.49,30.23
9434,Male,27,23.88,14.21
22374,Male,28,26.21,95.51
21623,Female,28,32.83,77.34
12452,Male,19,20.18,10.82
11800,Male,20,37.89,15.34
31389,Female,52,89.17,31.66
20769,Male,25,36.13,62.4
4829,Male,28,35.98,29.44
14590,Male,25,21.66,66.55
1508,Female,32,24.21,39.18
18613,Male,21,19.75,68.12
19303,Female,22,35.48,87.72
38310,Female,43,74.66,98.46
1739,Female,33,36.87,6.03
35876,Male,53,134.58,17.13
47068,Male,26,96.67,89.11
5115,Male,18,19.45,34.61
24907,Male,29,25.41,60.17
7636,Male,29,22.74,27.27
14399,Female,21,29.88,92.07
36171,Female,55,132.51,14.57
9184,Female,19,24.58,38.21
36797,Male,48,84.97,5.02
37623,Male,42,88.59,87.1
1656,Male,34,37.27,23.21
4327,Female,29,34.22,35.22
27378,Male,54,115.42,23.31
19045,Male,25,21.46,68.55
44329,Male,27,76.5,90.73
9662,Male,22,20.5,6.69
15915,Male,28,39.86,69.49
25467,Male,52,86.14,31.2
13611,Female,21,17.12,87.68
11671,Female,32,36.68,33.68
1220,Female,29,23.97,36.54
38864,Female,44,94.57,64.52
12558,Female,20,21.18,89.93
39144,Male,47,110.75,73.18
35509,Male,50,108.61,22.99
11853,Male,32,31.27,37.85
13239,Male,18,39.42,80.33
29951,Male,51,87.1,15.55
27985,Male,60,131.79,25.2
22091,Female,23,35.11,83.16
48990,Female,46,87.13,71.26
40640,Female,40,76.95,78.06
28912,Female,63,76.94,21.79
8571,Female,29,22.48,22.8
38432,Male,33,118.5,60.81
40526,Male,47,96.05,76.47
35550,Female,49,111.38,21.02
29488,Male,63,105.94,16.02
26038,Male,59,130.24,15.19
19371,Male,25,17.42,87.44
44735,Male,41,114.13,70.31
6916,Female,28,31.73,30.64
14999,Female,24,36.95,64.63
16751,Female,20,28.78,79.94
29960,Male,59,105.34,3.94
28857,Female,45,92.01,4.34
38912,Female,28,119.46,95.79
5844,Female,28,24.21,28.12
15770,Female,25,26.57,79.64
27099,Male,48,117.02,29.68
