CustomerID,Gender,Age,Annual_Income_k,Spending_Score,KMeans_Cluster,DBSCAN_Cluster,Income_Category,Spending_Category,Age_Group,Customer_Value
22063,Female,18,22.13,77.2,1,3,Low,High,Young,49.665
9414,Female,25,26.92,29.92,3,1,Low,Low,Young,28.42
38341,Female,28,98.0,65.08,2,2,High,Medium,Adult,81.53999999999999
30264,Male,58,93.47,22.02,0,0,High,Low,Middle-aged,57.745
41253,Male,30,71.61,68.33,2,2,Medium,High,Adult,69.97
14645,Male,18,27.43,67.56,1,3,Low,High,Young,47.495000000000005
26336,Male,35,102.23,36.02,2,0,High,Medium,Adult,69.125
28103,Male,40,106.42,14.83,0,0,High,Low,Adult,60.625
17524,Male,26,39.99,78.16,1,3,Low,High,Adult,59.075
24713,Female,23,37.4,62.76,1,3,Low,Medium,Young,50.08
40486,Female,42,76.72,95.49,2,2,Medium,High,Middle-aged,86.10499999999999
3851,Female,34,19.59,35.85,3,1,Low,Medium,Adult,27.72
40041,Female,48,84.07,66.08,2,2,High,High,Middle-aged,75.07499999999999
15268,Male,26,18.34,64.05,1,3,Low,Medium,Adult,41.195
49147,Male,32,96.54,78.04,2,2,High,High,Adult,87.29
30002,Male,60,129.27,23.33,0,0,High,Low,Middle-aged,76.30000000000001
45927,Male,39,113.74,60.16,2,2,High,Medium,Adult,86.94999999999999
43825,Male,34,82.81,89.2,2,2,High,High,Adult,86.005
17241,Male,27,32.17,83.77,1,3,Low,High,Adult,57.97
4893,Male,25,29.65,12.05,3,1,Low,Low,Young,20.85
726,Male,22,27.76,25.44,3,1,Low,Low,Young,26.6
22950,Female,29,20.51,66.72,1,3,Low,High,Adult,43.615
34658,Female,61,73.27,30.85,0,0,Medium,Low,Senior,52.06
37214,Male,58,84.24,22.5,0,0,High,Low,Middle-aged,53.37
20305,Female,19,23.37,90.78,1,3,Low,High,Young,57.075
15270,Female,21,30.67,90.74,1,3,Low,High,Young,60.705
22368,Female,23,26.02,82.97,1,3,Low,High,Young,54.495
42685,Male,31,72.19,60.86,2,2,Medium,Medium,Adult,66.525
46735,Male,34,91.91,67.07,2,2,High,High,Adult,79.49
11733,Male,28,15.42,6.73,3,1,Low,Low,Adult,11.075
18620,Female,22,36.6,94.99,1,3,Low,High,Young,65.795
48493,Female,38,76.03,86.78,2,2,Medium,High,Adult,81.405
26804,Female,67,115.25,7.4,0,0,High,Low,Senior,61.325
44306,Female,29,109.02,95.77,2,2,High,High,Adult,102.395
47523,Male,26,113.14,97.62,2,2,High,High,Adult,105.38
32208,Female,55,103.26,2.22,0,0,High,Low,Middle-aged,52.74
2531,Female,27,20.33,16.02,3,1,Low,Low,Adult,18.174999999999997
17747,Female,21,39.07,87.16,1,3,Low,High,Young,63.114999999999995
8271,Female,32,34.52,37.19,3,1,Low,Medium,Adult,35.855000000000004
15080,Female,25,31.37,74.19,1,3,Low,High,Young,52.78
13625,Female,28,34.24,71.23,1,3,Low,High,Adult,52.735
30639,Male,63,128.62,22.31,0,0,High,Low,Senior,75.465
30441,Male,45,75.53,38.35,0,0,Medium,Medium,Middle-aged,56.94
36057,Male,66,74.06,35.99,0,0,Medium,Medium,Senior,55.025000000000006
42652,Female,39,131.52,90.88,2,2,High,High,Adult,111.2
36804,Female,38,122.48,5.22,0,0,High,Low,Adult,63.85
48225,Female,37,130.26,64.17,2,2,High,Medium,Adult,97.215
29227,Female,60,99.24,8.8,0,0,High,Low,Middle-aged,54.019999999999996
5634,Male,24,19.27,9.57,3,1,Low,Low,Young,14.42
5988,Male,18,28.07,27.26,3,1,Low,Low,Young,27.665
48064,Male,41,106.46,91.78,2,2,High,High,Middle-aged,99.12
1813,Male,18,26.11,6.52,3,1,Low,Low,Young,16.314999999999998
27579,Male,45,94.42,9.97,0,0,High,Low,Middle-aged,52.195
16824,Male,23,30.63,91.5,1,3,Low,High,Young,61.065
3929,Male,20,21.09,3.04,3,1,Low,Low,Young,12.065
37287,Male,62,109.36,13.24,0,0,High,Low,Senior,61.3
25046,Male,43,80.06,20.99,0,0,High,Low,Middle-aged,50.525
15728,Male,23,23.56,87.99,1,3,Low,High,Young,55.775
29601,Female,65,128.72,15.27,0,0,High,Low,Senior,71.995
10431,Male,28,38.7,7.96,3,1,Low,Low,Adult,23.330000000000002
25769,Male,66,136.19,37.24,0,0,High,Medium,Senior,86.715
29104,Female,54,114.57,10.39,0,0,High,Low,Middle-aged,62.48
36538,Male,66,78.13,7.67,0,0,Medium,Low,Senior,42.9
39329,Female,47,106.76,75.11,2,2,High,High,Middle-aged,90.935
35540,Female,66,110.78,26.59,0,0,High,Low,Senior,68.685
28076,Female,59,132.22,37.89,0,0,High,Medium,Middle-aged,85.055
17841,Male,25,19.98,84.29,1,3,Low,High,Young,52.135000000000005
27803,Male,69,77.26,26.26,0,0,Medium,Low,Senior,51.760000000000005
7683,Female,29,32.26,5.0,3,1,Low,Low,Adult,18.63
24280,Male,25,35.24,70.2,1,3,Low,High,Young,52.72
33071,Male,59,103.92,8.84,0,0,High,Low,Middle-aged,56.38
35558,Male,52,73.88,4.29,0,0,Medium,Low,Middle-aged,39.085
37190,Male,68,77.4,18.78,0,0,Medium,Low,Senior,48.09
47150,Male,34,113.41,95.54,2,2,High,High,Adult,104.475
46916,Male,49,85.32,60.53,2,2,High,Medium,Middle-aged,72.925
9802,Female,20,33.24,22.08,3,1,Low,Low,Young,27.66
38801,Female,49,101.5,96.16,2,2,High,High,Middle-aged,98.83
24670,Male,23,34.74,98.89,1,3,Low,High,Young,66.815
44234,Female,36,98.11,89.04,2,2,High,High,Adult,93.575
31920,Male,37,92.77,33.83,0,0,High,Medium,Adult,63.3
7135,Male,29,32.65,12.79,3,1,Low,Low,Adult,22.72
33705,Female,37,107.71,3.38,0,0,High,Low,Adult,55.544999999999995
29661,Female,60,135.0,16.53,0,0,High,Low,Middle-aged,75.765
17894,Male,20,24.2,67.79,1,3,Low,High,Young,45.995000000000005
22019,Male,29,33.56,67.75,1,3,Low,High,Adult,50.655
13539,Female,25,16.73,79.44,1,3,Low,High,Young,48.085
43119,Female,48,101.63,63.65,2,2,High,Medium,Middle-aged,82.64
36421,Female,55,95.05,4.0,0,0,High,Low,Middle-aged,49.525
9406,Female,20,29.58,11.05,3,1,Low,Low,Young,20.314999999999998
13414,Female,18,19.93,93.33,1,3,Low,High,Young,56.629999999999995
6721,Female,29,34.18,19.84,3,1,Low,Low,Adult,27.009999999999998
15602,Female,23,24.93,68.02,1,3,Low,High,Young,46.474999999999994
44744,Male,40,70.04,83.32,2,2,Medium,High,Adult,76.68
31139,Female,53,92.31,28.81,0,0,High,Low,Middle-aged,60.56
2730,Female,30,16.11,38.85,3,1,Low,Medium,Adult,27.48
38243,Female,29,91.2,78.86,2,2,High,High,Adult,85.03
29626,Female,69,83.96,3.42,0,0,High,Low,Senior,43.69
47895,Female,45,120.17,64.35,2,2,High,Medium,Middle-aged,92.25999999999999
42091,Male,44,78.25,98.5,2,2,Medium,High,Middle-aged,88.375
36400,Male,54,133.85,2.05,0,0,High,Low,Middle-aged,67.95
6245,Female,22,36.9,20.89,3,1,Low,Low,Young,28.895
5546,Female,33,39.27,28.94,3,1,Low,Low,Adult,34.105000000000004
4065,Male,31,27.3,33.08,3,1,Low,Medium,Adult,30.189999999999998
12852,Male,26,17.77,63.28,1,3,Low,Medium,Adult,40.525
21803,Male,23,16.4,85.38,1,3,Low,High,Young,50.89
41164,Male,41,106.53,92.77,2,2,High,High,Middle-aged,99.65
6233,Female,26,38.84,29.69,3,1,Low,Low,Adult,34.265
3863,Male,25,20.82,32.43,3,1,Low,Low,Young,26.625
35095,Male,40,135.81,5.33,0,0,High,Low,Adult,70.57000000000001
40196,Male,43,106.18,84.43,2,2,High,High,Middle-aged,95.305
39251,Female,25,134.94,69.36,2,2,High,High,Young,102.15
6218,Male,33,29.64,28.79,3,1,Low,Low,Adult,29.215
36776,Male,46,133.73,23.76,0,0,High,Low,Middle-aged,78.74499999999999
42977,Male,33,108.44,90.12,2,2,High,High,Adult,99.28
48468,Female,29,114.35,81.72,2,2,High,High,Adult,98.035
14832,Male,20,37.15,66.57,1,3,Low,High,Young,51.86
30093,Female,36,121.64,9.6,0,0,High,Low,Adult,65.62
8894,Male,20,37.77,27.39,3,1,Low,Low,Young,32.58
6021,Male,25,28.19,1.33,3,1,Low,Low,Young,14.760000000000002
46089,Male,26,105.39,63.91,2,2,High,Medium,Adult,84.65
15243,Male,26,29.43,68.59,1,3,Low,High,Adult,49.010000000000005
45308,Female,30,95.17,97.27,2,2,High,High,Adult,96.22
26551,Male,38,136.8,17.76,0,0,High,Low,Adult,77.28
6035,Male,21,36.64,20.94,3,1,Low,Low,Young,28.79
7906,Male,23,19.0,36.39,3,1,Low,Medium,Young,27.695
32226,Female,59,91.66,16.58,0,0,High,Low,Middle-aged,54.12
6018,Female,22,38.28,33.04,3,1,Low,Medium,Young,35.66
21880,Female,26,22.93,65.12,1,3,Low,Medium,Adult,44.025000000000006
2792,Male,18,19.05,10.72,3,1,Low,Low,Young,14.885000000000002
42606,Female,33,119.25,84.34,2,2,High,High,Adult,101.795
5824,Male,23,17.11,21.47,3,1,Low,Low,Young,19.29
15388,Female,25,24.03,76.86,1,3,Low,High,Young,50.445
29562,Female,52,107.37,20.9,0,0,High,Low,Middle-aged,64.135
39476,Male,49,89.87,87.14,2,2,High,High,Middle-aged,88.505
293,Male,24,15.85,28.2,3,1,Low,Low,Young,22.025
16958,Male,19,24.54,91.02,1,3,Low,High,Young,57.78
30861,Female,52,101.28,2.95,0,0,High,Low,Middle-aged,52.115
14074,Female,25,27.28,96.1,1,3,Low,High,Young,61.69
21857,Female,25,16.05,84.02,1,3,Low,High,Young,50.035
22080,Male,21,33.43,63.89,1,3,Low,Medium,Young,48.66
17024,Male,28,35.67,80.41,1,3,Low,High,Adult,58.04
8740,Male,26,35.76,34.31,3,1,Low,Medium,Adult,35.035
15826,Male,19,28.86,65.65,1,3,Low,Medium,Young,47.255
2742,Male,33,37.48,25.33,3,1,Low,Low,Adult,31.404999999999998
18049,Female,29,37.8,89.24,1,3,Low,High,Adult,63.519999999999996
49937,Male,25,119.31,72.88,2,2,High,High,Young,96.095
17373,Male,25,15.15,85.91,1,3,Low,High,Young,50.53
22022,Male,21,25.34,82.16,1,3,Low,High,Young,53.75
46365,Female,45,126.08,62.12,2,2,High,Medium,Middle-aged,94.1
23538,Female,27,17.27,61.46,1,3,Low,Medium,Adult,39.365
45500,Male,41,83.58,74.58,2,2,High,High,Middle-aged,79.08
40186,Female,42,72.75,69.05,2,2,Medium,High,Middle-aged,70.9
9614,Female,23,23.7,30.72,3,1,Low,Low,Young,27.21
43282,Female,43,123.33,95.79,2,2,High,High,Middle-aged,109.56
37892,Female,48,90.99,65.73,2,2,High,Medium,Middle-aged,78.36
26179,Female,63,79.55,27.39,0,0,Medium,Low,Senior,53.47
45893,Female,35,126.56,63.99,2,2,High,Medium,Adult,95.275
20934,Male,26,19.66,74.79,1,3,Low,High,Adult,47.225
40972,Female,48,134.45,97.5,2,2,High,High,Middle-aged,115.975
22225,Female,20,33.87,86.57,1,3,Low,High,Young,60.22
24382,Male,21,33.39,85.86,1,3,Low,High,Young,59.625
34856,Male,62,109.52,20.21,0,0,High,Low,Senior,64.865
48578,Male,45,82.18,92.49,2,2,High,High,Middle-aged,87.33500000000001
38537,Female,25,121.44,72.2,2,2,High,High,Young,96.82
31756,Male,64,87.47,23.8,0,0,High,Low,Senior,55.635
7754,Female,26,38.66,7.54,3,1,Low,Low,Adult,23.099999999999998
46639,Male,35,82.65,90.95,2,2,High,High,Adult,86.80000000000001
43835,Female,26,131.58,77.34,2,2,High,High,Adult,104.46000000000001
26236,Male,53,115.73,24.86,0,0,High,Low,Middle-aged,70.295
44230,Male,42,115.58,72.27,2,2,High,High,Middle-aged,93.925
49597,Male,35,70.54,82.8,2,2,Medium,High,Adult,76.67
18553,Male,18,28.05,88.95,1,3,Low,High,Young,58.5
43137,Female,46,134.26,61.89,2,2,High,Medium,Middle-aged,98.07499999999999
36673,Female,51,99.21,39.11,0,0,High,Medium,Middle-aged,69.16
43650,Female,30,127.82,91.42,2,2,High,High,Adult,109.62
3941,Male,33,26.24,24.9,3,1,Low,Low,Adult,25.57
31497,Male,62,125.78,7.55,0,0,High,Low,Senior,66.665
26594,Female,60,131.52,3.14,0,0,High,Low,Middle-aged,67.33
23922,Male,21,38.64,71.16,1,3,Low,High,Young,54.9
26403,Male,52,110.29,28.46,0,0,High,Low,Middle-aged,69.375
45943,Male,47,87.29,80.25,2,2,High,High,Middle-aged,83.77000000000001
48526,Male,45,107.14,84.96,2,2,High,High,Middle-aged,96.05
18316,Male,27,17.3,92.47,1,3,Low,High,Adult,54.885
36894,Female,60,93.82,34.04,0,0,High,Medium,Middle-aged,63.92999999999999
26696,Female,57,101.39,21.14,0,0,High,Low,Middle-aged,61.265
42128,Male,46,112.74,93.16,2,2,High,High,Middle-aged,102.94999999999999
14171,Female,19,20.81,73.11,1,3,Low,High,Young,46.96
3733,Male,31,35.44,21.82,3,1,Low,Low,Adult,28.63
7882,Female,19,32.02,38.05,3,1,Low,Medium,Young,35.035
6017,Female,27,33.8,15.05,3,1,Low,Low,Adult,24.424999999999997
23030,Female,24,20.45,79.71,1,3,Low,High,Young,50.08
35474,Female,35,98.37,38.16,2,0,High,Medium,Adult,68.265
49686,Female,29,90.62,80.49,2,2,High,High,Adult,85.555
4818,Male,33,37.29,37.7,3,1,Low,Medium,Adult,37.495000000000005
41694,Female,43,129.35,77.14,2,2,High,High,Middle-aged,103.245
12008,Female,34,21.83,2.59,3,1,Low,Low,Adult,12.209999999999999
41328,Female,25,99.63,81.59,2,2,High,High,Young,90.61
9507,Female,18,22.46,15.48,3,1,Low,Low,Young,18.97
44799,Female,35,71.84,81.89,2,2,Medium,High,Adult,76.86500000000001
34063,Male,36,134.18,22.2,0,0,High,Low,Adult,78.19
27475,Male,45,115.43,29.15,0,0,High,Low,Middle-aged,72.29
31144,Male,68,88.72,39.3,0,0,High,Medium,Senior,64.00999999999999
21236,Male,19,36.11,61.86,1,3,Low,Medium,Young,48.985
1391,Male,23,34.83,9.6,3,1,Low,Low,Young,22.215
38250,Female,36,124.41,88.07,2,2,High,High,Adult,106.24
37625,Female,43,106.22,85.73,2,2,High,High,Middle-aged,95.975
42029,Female,32,125.89,95.87,2,2,High,High,Adult,110.88
20835,Female,19,27.15,74.76,1,3,Low,High,Young,50.955
14758,Male,26,22.26,94.0,1,3,Low,High,Adult,58.13
26397,Female,55,117.0,14.16,0,0,High,Low,Middle-aged,65.58
6809,Male,19,31.31,35.8,3,1,Low,Medium,Young,33.555
9226,Female,33,33.04,7.72,3,1,Low,Low,Adult,20.38
48395,Male,33,79.14,84.67,2,2,Medium,High,Adult,81.905
5396,Female,24,27.15,7.32,3,1,Low,Low,Young,17.235
6944,Female,18,27.47,20.72,3,1,Low,Low,Young,24.095
23871,Female,18,22.85,83.67,1,3,Low,High,Young,53.260000000000005
32493,Male,43,93.03,14.39,0,0,High,Low,Middle-aged,53.71
36346,Male,48,71.97,8.32,0,0,Medium,Low,Middle-aged,40.144999999999996
10756,Female,21,35.24,36.79,3,1,Low,Medium,Young,36.015
12302,Male,26,26.9,19.35,3,1,Low,Low,Adult,23.125
48387,Male,33,75.63,60.72,2,2,Medium,Medium,Adult,68.175
42746,Female,35,132.49,81.27,2,2,High,High,Adult,106.88
29090,Female,56,106.49,36.87,0,0,High,Medium,Middle-aged,71.67999999999999
44713,Male,42,125.37,91.03,2,2,High,High,Middle-aged,108.2
14344,Male,24,23.0,73.15,1,3,Low,High,Young,48.075
38173,Female,26,102.34,76.61,2,2,High,High,Adult,89.475
5072,Male,31,29.03,24.25,3,1,Low,Low,Adult,26.64
24122,Female,29,26.42,80.91,1,3,Low,High,Adult,53.665
48810,Male,26,96.96,76.37,2,2,High,High,Adult,86.66499999999999
17821,Female,25,37.8,62.12,1,3,Low,Medium,Young,49.959999999999994
1123,Male,31,17.69,30.96,3,1,Low,Low,Adult,24.325000000000003
11265,Male,19,27.09,13.61,3,1,Low,Low,Young,20.35
30580,Female,67,91.71,35.16,0,0,High,Medium,Senior,63.434999999999995
45465,Female,31,92.63,85.08,2,2,High,High,Adult,88.85499999999999
48217,Male,43,125.02,95.34,2,2,High,High,Middle-aged,110.18
43045,Female,25,77.59,69.26,2,2,Medium,High,Young,73.42500000000001
15657,Female,24,39.06,65.28,1,3,Low,Medium,Young,52.17
1901,Male,19,33.49,4.38,3,1,Low,Low,Young,18.935000000000002
148,Male,34,35.96,19.28,3,1,Low,Low,Adult,27.62
29643,Female,42,124.85,37.04,0,0,High,Medium,Middle-aged,80.945
3212,Male,31,35.66,29.52,3,1,Low,Low,Adult,32.589999999999996
43851,Male,27,96.73,83.15,2,2,High,High,Adult,89.94
2355,Male,21,30.39,27.95,3,1,Low,Low,Young,29.17
31521,Female,57,83.01,32.35,0,0,High,Low,Middle-aged,57.68000000000001
42584,Female,44,131.61,83.93,2,2,High,High,Middle-aged,107.77000000000001
43338,Male,42,117.85,83.91,2,2,High,High,Middle-aged,100.88
45285,Male,43,124.2,77.82,2,2,High,High,Middle-aged,101.00999999999999
46957,Male,46,121.22,72.76,2,2,High,High,Middle-aged,96.99000000000001
48791,Male,28,109.76,80.37,2,2,High,High,Adult,95.065
36586,Female,61,101.37,2.84,0,0,High,Low,Senior,52.105000000000004
10466,Male,25,25.58,25.24,3,1,Low,Low,Young,25.409999999999997
7822,Female,34,29.5,14.27,3,1,Low,Low,Adult,21.884999999999998
7206,Female,34,22.98,17.82,3,1,Low,Low,Adult,20.4
6414,Female,33,30.27,29.03,3,1,Low,Low,Adult,29.65
34047,Female,66,135.57,13.47,0,0,High,Low,Senior,74.52
12729,Female,25,23.15,87.5,1,3,Low,High,Young,55.325
6926,Female,34,19.45,31.85,3,1,Low,Low,Adult,25.65
27996,Female,44,116.47,3.77,0,0,High,Low,Middle-aged,60.12
37613,Female,33,108.7,74.54,2,2,High,High,Adult,91.62
39484,Male,33,76.64,67.04,2,2,Medium,High,Adult,71.84
3017,Male,26,22.32,14.5,3,1,Low,Low,Adult,18.41
1641,Female,25,18.67,26.19,3,1,Low,Low,Young,22.43
8884,Female,30,37.47,35.35,3,1,Low,Medium,Adult,36.41
37602,Male,25,85.53,60.02,2,2,High,Medium,Young,72.775
12970,Male,27,29.23,97.65,1,3,Low,High,Adult,63.440000000000005
23464,Male,24,39.19,84.09,1,3,Low,High,Young,61.64
15758,Female,19,23.92,90.55,1,3,Low,High,Young,57.235
44077,Female,36,118.18,78.98,2,2,High,High,Adult,98.58000000000001
4087,Male,31,25.84,19.22,3,1,Low,Low,Adult,22.53
509,Female,30,39.4,32.26,3,1,Low,Low,Adult,35.83
6355,Female,26,36.07,20.74,3,1,Low,Low,Adult,28.405
29645,Male,47,119.96,15.87,0,0,High,Low,Middle-aged,67.91499999999999
20816,Male,20,23.66,75.2,1,3,Low,High,Young,49.43
6235,Male,18,32.33,11.21,3,1,Low,Low,Young,21.77
31990,Male,47,84.14,34.13,0,0,High,Medium,Middle-aged,59.135000000000005
12996,Male,20,23.26,75.92,1,3,Low,High,Young,49.59
42502,Male,39,127.82,83.84,2,2,High,High,Adult,105.83
38921,Female,35,109.1,74.6,2,2,High,High,Adult,91.85
263,Female,26,25.9,12.48,3,1,Low,Low,Adult,19.189999999999998
7892,Male,30,27.95,7.16,3,1,Low,Low,Adult,17.555
10528,Male,18,32.38,38.62,3,1,Low,Medium,Young,35.5
18601,Female,29,23.08,74.81,1,3,Low,High,Adult,48.945
24115,Female,22,37.0,80.59,1,3,Low,High,Young,58.795
33499,Female,38,116.84,35.98,0,0,High,Medium,Adult,76.41
13472,Male,18,37.8,72.89,1,3,Low,High,Young,55.345
31726,Female,61,132.37,5.6,0,0,High,Low,Senior,68.985
23691,Female,23,20.35,63.32,1,3,Low,Medium,Young,41.835
10558,Female,22,29.23,3.16,3,1,Low,Low,Young,16.195
6557,Female,32,28.79,8.08,3,1,Low,Low,Adult,18.435
45578,Male,37,84.99,95.42,2,2,High,High,Adult,90.205
41504,Male,44,104.1,88.78,2,2,High,High,Middle-aged,96.44
27873,Male,63,104.29,8.25,0,0,High,Low,Senior,56.27
10811,Female,29,28.86,13.24,3,1,Low,Low,Adult,21.05
38215,Female,43,86.46,79.93,2,2,High,High,Middle-aged,83.195
11731,Male,26,25.32,7.48,3,1,Low,Low,Adult,16.4
27439,Female,59,134.14,33.89,0,0,High,Medium,Middle-aged,84.01499999999999
21780,Female,19,21.17,87.84,1,3,Low,High,Young,54.505
34080,Female,40,122.64,8.64,0,0,High,Low,Adult,65.64
22916,Male,26,22.47,90.6,1,3,Low,High,Adult,56.535
8086,Male,31,24.48,39.6,3,1,Low,Medium,Adult,32.04
43468,Female,27,90.22,88.0,2,2,High,High,Adult,89.11
14710,Female,25,28.92,71.62,1,3,Low,High,Young,50.27
15467,Male,28,35.44,65.28,1,3,Low,Medium,Adult,50.36
37173,Female,56,72.08,19.56,0,0,Medium,Low,Middle-aged,45.82
28749,Male,45,76.96,7.65,0,0,Medium,Low,Middle-aged,42.305
3105,Male,19,33.91,24.81,3,1,Low,Low,Young,29.36
709,Male,34,27.69,27.42,3,1,Low,Low,Adult,27.555
38386,Male,30,102.88,78.5,2,2,High,High,Adult,90.69
23445,Female,27,27.41,68.78,1,3,Low,High,Adult,48.095
26511,Male,47,135.13,4.46,0,0,High,Low,Middle-aged,69.795
8467,Male,23,34.89,27.38,3,1,Low,Low,Young,31.134999999999998
6231,Male,18,18.47,22.81,3,1,Low,Low,Young,20.64
46359,Female,46,94.6,77.22,2,2,High,High,Middle-aged,85.91
39358,Female,28,88.46,74.3,2,2,High,High,Adult,81.38
16387,Male,27,25.11,90.07,1,3,Low,High,Adult,57.589999999999996
34166,Male,37,126.17,28.33,0,0,High,Low,Adult,77.25
4169,Male,22,39.23,8.69,3,1,Low,Low,Young,23.959999999999997
5804,Male,25,22.07,8.42,3,1,Low,Low,Young,15.245000000000001
12754,Female,26,30.19,61.47,1,3,Low,Medium,Adult,45.83
2190,Female,31,31.59,5.42,3,1,Low,Low,Adult,18.505
12188,Male,33,16.39,20.82,3,1,Low,Low,Adult,18.605
31728,Male,63,78.84,29.43,0,0,Medium,Low,Senior,54.135000000000005
19246,Female,23,27.1,85.92,1,3,Low,High,Young,56.510000000000005
37867,Female,46,123.11,75.42,2,2,High,High,Middle-aged,99.265
43515,Male,37,81.75,86.34,2,2,High,High,Adult,84.045
8719,Male,19,29.29,31.41,3,1,Low,Low,Young,30.35
28825,Female,50,76.83,24.22,0,0,Medium,Low,Middle-aged,50.525
24469,Male,22,15.55,98.82,1,3,Low,High,Young,57.184999999999995
48253,Female,37,86.18,98.78,2,2,High,High,Adult,92.48
7202,Male,32,28.97,35.54,3,1,Low,Medium,Adult,32.254999999999995
9283,Female,23,17.58,11.35,3,1,Low,Low,Young,14.465
26821,Female,50,85.32,11.23,0,0,High,Low,Middle-aged,48.275
27374,Male,47,83.58,26.59,0,0,High,Low,Middle-aged,55.085
22493,Male,18,29.23,66.31,1,3,Low,High,Young,47.77
45638,Female,49,82.72,88.39,2,2,High,High,Middle-aged,85.555
45880,Female,30,85.73,83.5,2,2,High,High,Adult,84.61500000000001
29340,Female,69,116.26,31.69,0,0,High,Low,Senior,73.97500000000001
46548,Female,33,114.14,88.88,2,2,High,High,Adult,101.50999999999999
10804,Female,22,23.25,1.46,3,1,Low,Low,Young,12.355
20965,Male,19,38.78,85.25,1,3,Low,High,Young,62.015
30033,Male,38,127.73,3.36,0,0,High,Low,Adult,65.545
5223,Male,23,31.88,25.37,3,1,Low,Low,Young,28.625
660,Male,27,39.29,13.92,3,1,Low,Low,Adult,26.605
33246,Male,60,100.49,39.77,0,0,High,Medium,Middle-aged,70.13
5866,Female,34,35.68,30.99,3,1,Low,Low,Adult,33.335
48872,Female,27,94.05,79.96,2,2,High,High,Adult,87.005
22986,Male,29,20.94,68.7,1,3,Low,High,Adult,44.82
28881,Male,61,93.97,29.6,0,0,High,Low,Senior,61.785
47088,Female,42,114.81,96.12,2,2,High,High,Middle-aged,105.465
26528,Female,35,76.18,9.32,3,0,Medium,Low,Adult,42.75
9648,Male,23,32.04,35.27,3,1,Low,Medium,Young,33.655
49546,Male,31,70.02,86.04,2,2,Medium,High,Adult,78.03
32375,Female,61,94.93,13.8,0,0,High,Low,Senior,54.365
26159,Female,54,83.02,37.17,0,0,High,Medium,Middle-aged,60.095
11712,Male,23,39.07,30.66,3,1,Low,Low,Young,34.865
27239,Female,63,106.19,26.25,0,0,High,Low,Senior,66.22
18354,Male,18,28.72,68.27,1,3,Low,High,Young,48.495
